ABV-IINDIAN INSTITUTE OF TECHNOLOGY, Gwalior
Aligarh Muslim University, Aligarh
Amity University, Gautam Budh Nagar, Noida
Birla Institute of Technology & Science, Pilani
Birla Institute of Technology, Ranchi
Delhi Technological University, New Delhi
INDIAN INSTITUTE OF TECHNOLOGY (BHU), Varanasi
INDIAN INSTITUTE OF TECHNOLOGY (ISM), Dhanbad
INDIAN INSTITUTE OF TECHNOLOGY, Bhilai
INDIAN INSTITUTE OF TECHNOLOGY, Bhubaneswar
INDIAN INSTITUTE OF TECHNOLOGY, Bombay
INDIAN INSTITUTE OF TECHNOLOGY, Delhi
INDIAN INSTITUTE OF TECHNOLOGY, Dharwad
INDIAN INSTITUTE OF TECHNOLOGY, Gandhinagar
INDIAN INSTITUTE OF TECHNOLOGY, Goa 
INDIAN INSTITUTE OF TECHNOLOGY, Guwahati
INDIAN INSTITUTE OF TECHNOLOGY, Hyderabad
INDIAN INSTITUTE OF TECHNOLOGY, Indore
INDIAN INSTITUTE OF TECHNOLOGY, Jammu
INDIAN INSTITUTE OF TECHNOLOGY, Jodhpur
INDIAN INSTITUTE OF TECHNOLOGY, Kanpur
INDIAN INSTITUTE OF TECHNOLOGY, Kharagpur
INDIAN INSTITUTE OF TECHNOLOGY, Madras
INDIAN INSTITUTE OF TECHNOLOGY, Mandi
INDIAN INSTITUTE OF TECHNOLOGY, Palakkad
INDIAN INSTITUTE OF TECHNOLOGY, Patna
INDIAN INSTITUTE OF TECHNOLOGY, Roorkee
INDIAN INSTITUTE OF TECHNOLOGY, Ropar
INDIAN INSTITUTE OF TECHNOLOGY, Tirupati
Indian Institute of Engineering Science and Technology, Shibpur, Howrah
Indian Institute of Information Technology Design and Manufacturing, Kurnool
Indian Institute of Information Technology, Agartala
Indian Institute of Information Technology, Allahabad
Indian Institute of Information Technology, Bhagalpur
Indian Institute of Information Technology, Bhopal
Indian Institute of Information Technology, Design and Manufacturing, Jabalpur
Indian Institute of Information Technology, Design and Manufacturing, Kancheepuram
Indian Institute of Information Technology, Dharwad
Indian Institute of Information Technology, Guwahati
Indian Institute of Information Technology, Kalyani
Indian Institute of Information Technology, Kota
Indian Institute of Information Technology, Kottayam
Indian Institute of Information Technology, Lucknow
Indian Institute of Information Technology, Manipur
Indian Institute of Information Technology, Nagpur
Indian Institute of Information Technology, Pune
Indian Institute of Information Technology, Raichur
Indian Institute of Information Technology, Ranchi
Indian Institute of Information Technology, Sonepat
Indian Institute of Information Technology, Sri City
Indian Institute of Information Technology, Surat
Indian Institute of Information Technology, Tiruchirappalli
Indian Institute of Information Technology, Una
Indian Institute of Information Technology, Vadodara
Indian Institute of Space Science and Technology, Thiruvananthapuram
Institute of Chemical Technology, Mumbai
Jamia Millia Islamia, New Delhi
NATIONAL INSTITUTE OF TECHNOLOGY, Agartala
NATIONAL INSTITUTE OF TECHNOLOGY, Andhra Pradesh
NATIONAL INSTITUTE OF TECHNOLOGY, Arunachal Pradesh
NATIONAL INSTITUTE OF TECHNOLOGY, Bhopal
NATIONAL INSTITUTE OF TECHNOLOGY, Calicut
NATIONAL INSTITUTE OF TECHNOLOGY, Delhi
NATIONAL INSTITUTE OF TECHNOLOGY, Durgapur
NATIONAL INSTITUTE OF TECHNOLOGY, Goa
NATIONAL INSTITUTE OF TECHNOLOGY, Hamirpur
NATIONAL INSTITUTE OF TECHNOLOGY, Jaipur
NATIONAL INSTITUTE OF TECHNOLOGY, Jalandhar
NATIONAL INSTITUTE OF TECHNOLOGY, Jamshedpur
NATIONAL INSTITUTE OF TECHNOLOGY, Karnataka
NATIONAL INSTITUTE OF TECHNOLOGY, Kurukshetra
NATIONAL INSTITUTE OF TECHNOLOGY, Manipur
NATIONAL INSTITUTE OF TECHNOLOGY, Meghalaya
NATIONAL INSTITUTE OF TECHNOLOGY, Mizoram
NATIONAL INSTITUTE OF TECHNOLOGY, Nagaland
NATIONAL INSTITUTE OF TECHNOLOGY, Nagpur
NATIONAL INSTITUTE OF TECHNOLOGY, Patna
NATIONAL INSTITUTE OF TECHNOLOGY, Puducherry
NATIONAL INSTITUTE OF TECHNOLOGY, Raipur
NATIONAL INSTITUTE OF TECHNOLOGY, Rourkela
NATIONAL INSTITUTE OF TECHNOLOGY, Sikkim
NATIONAL INSTITUTE OF TECHNOLOGY, Silchar
NATIONAL INSTITUTE OF TECHNOLOGY, Srinagar
NATIONAL INSTITUTE OF TECHNOLOGY, Surat
NATIONAL INSTITUTE OF TECHNOLOGY, Tiruchirappalli
NATIONAL INSTITUTE OF TECHNOLOGY, Uttarakhand
NATIONAL INSTITUTE OF TECHNOLOGY, Warangal
SRM Institute of Science and Technology, Chennai
Thapar Institute of Engineering and Technology, Patiala
Institute of Technology, Vellore
